user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.039,2,20,0,12,0.6
2,Chicago North,883,19.2,"Chicago, IL",0.051,2.5,20,0,10,0.5
3,Chicago West,897,23.2,"Chicago, IL",0.038,1.9,20,0,13,0.65
4,Manhattan,322,0,"New York, NY",0.02,1,20,0,11,0.55
5,Newark,309,14.3,"New York, NY",0.018,0.9,20,0,13,0.65
6,LA Downtown,3.64E+03,0,"Los Angeles, CA",0.17,8.5,20,0,11,0.55
7,Santa Monica,3.67E+03,23.1,"Los Angeles, CA",0.208,10.4,20,0,9,0.45
8,Houston Downtown,1.97E+03,0,"Houston, TX",0.104,5.2,20,0,10,0.5
9,The Woodlands,1.94E+03,45.8,"Houston, TX",0.088,4.4,20,0,12,0.6
,,,,,,,,,,
,,,,,,,,,,
,,user_id,city,total_network_time,cache_hit_ratio,total_network_time_PREV,cache_hit_ratio_PREV,,,
,,1,Chicago Downtown,0.039,0.6,0.095,0.3,,,
,,2,Chicago North,0.051,0.5,0.038,0.95,,,
,,3,Chicago West,0.038,0.65,0.07,0.6,,,
,,4,Manhattan,0.02,0.55,0.052,0.5,,,
,,5,Newark,0.018,0.65,0.056,0.45,,,
,,6,LA Downtown,0.17,0.55,0.124,0.75,,,
,,7,Santa Monica,0.208,0.45,0.33,0.2,,,
,,8,Houston Downtown,0.104,0.5,0.128,0.5,,,
,,9,The Woodlands,0.088,0.6,0.155,0.4,,,
