user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",5.57,0,186,30,0,16,0.533
7,Manhattan,322,0,"New York, NY",0.023,0,1.2,20,0,10,0.5
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.145,0,7.2,20,0,6,0.3
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.17,0,8.5,20,0,11,0.55
5,Chicago East,874,1.8,"Chicago, IL",5.32,0,177,30,0,21,0.7
8,Newark,309,14.3,"New York, NY",0.03,0,1.5,20,0,7,0.35
4,Chicago South,873,16.8,"Chicago, IL",6.08,0,203,30,0,19,0.633
2,Chicago North,883,19.2,"Chicago, IL",4.95,0,165,30,0,20,0.667
6,Chicago Suburb,890,21.4,"Chicago, IL",5.29,0,176,30,0,25,0.833
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.173,0,8.7,20,0,11,0.55
3,Chicago West,897,23.2,"Chicago, IL",5.35,0,178,30,0,22,0.733
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.109,0,5.5,20,0,10,0.5
