user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio,recommendations_received
1,Chicago Downtown,874,0,"Chicago, IL",0.449,0.405,15,30,0,22,0.733,0
7,Manhattan,322,0,"New York, NY",0.027,0,1.3,20,0,8,0.4,0
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.105,0,5.2,20,0,10,0.5,0
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.207,0,10.4,20,0,9,0.45,0
5,Chicago East,874,1.8,"Chicago, IL",0.054,0,1.8,30,0,20,0.667,0
8,Newark,309,14.3,"New York, NY",0.026,0,1.3,20,0,9,0.45,0
4,Chicago South,873,16.8,"Chicago, IL",0.052,0,1.7,30,0,21,0.7,0
2,Chicago North,883,19.2,"Chicago, IL",0.066,0,2.2,30,0,18,0.6,0
6,Chicago Suburb,890,21.4,"Chicago, IL",0.185,0.101,6.2,30,0,14,0.467,0
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.247,0,12.3,20,0,7,0.35,0
3,Chicago West,897,23.2,"Chicago, IL",0.092,0.021,3.1,30,0,17,0.567,0
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.139,0,7,20,0,7,0.35,0
